Tag,Recipe,Quant,Size (GB),R@1,R@5,R@10,MRR@10,NDCG@5,NDCG@10,Slot-1 top-1 %,Kendall τ,Top-1 vs Teacher,Parse rate,ms/tok (p50),N eval
teacher-only-smoke,teacher,n/a,,0.270,0.703,1.000,0.478,,,,,,,,37
teacher-qwen35,teacher,n/a,,0.265,0.717,1.000,0.458,,,,,,,,283
teacher-qwen35-v3-http,teacher,n/a,,0.275,0.767,1.000,0.481,,,,,,,,287
base-0.8B-guided,base,fp16,,0.073,0.321,0.589,0.186,,,,0.230,0.143,0.589,,287
base-9B-guided,base,fp16,,0.237,0.732,0.997,0.449,,,,0.624,0.544,0.997,,287
merged,v0-legacy,fp16,,0.270,0.784,1.000,0.489,,,,0.660,0.486,1.000,,37
w4a16,v0-legacy,w4a16,,0.297,0.730,0.973,0.484,,,,0.646,0.486,0.973,,37
w4a16-smoke,v0-legacy,w4a16,,0.500,0.500,1.000,0.550,,,,0.756,1.000,1.000,,2
nf4,v0-legacy,nf4,,0.288,0.636,0.955,0.447,,,,0.605,0.409,0.955,,66
gguf-q4km,v0-legacy,gguf-q4km,,0.242,0.667,0.939,0.419,,,,0.616,0.424,0.939,,66
merged-smoke,v0-legacy,merged,,0.000,0.500,1.000,0.300,,,,0.800,0.500,1.000,,2
v2-sft,v2-sft,fp16,1.420,0.261,0.756,1.000,0.478,,,,0.609,0.537,1.000,,283
v2-sft-w4a16,v2-sft,w4a16,0.732,0.254,0.767,1.000,0.479,,,,0.608,0.523,1.000,,283
v2-sft-nf4,v2-sft,nf4,0.733,0.279,0.742,0.996,0.485,,,,0.606,0.551,0.996,,283
v2-sft-gguf-q4km,v2-sft,gguf-q4km,0.493,0.297,0.756,1.000,0.498,,,,0.604,0.512,1.000,,283
v2-gkd-warm,v2-gkd-warm,fp16,1.894,0.000,0.000,0.000,0.000,,,,0.000,0.000,0.000,,283
qwen35-teacher-guided-thinkOn-varA-schema,qwen35-teacher-guided-thinkOn-varA-schema,fp16,,0.268,0.753,1.000,0.480,0.523,0.603,0.192,0.711,0.641,1.000,,287
qwen35-teacher-guided-thinkOn-varB-example,qwen35-teacher-guided-thinkOn-varB-example,fp16,,0.275,0.756,1.000,0.486,0.528,0.608,0.136,0.718,0.634,1.000,,287
qwen35-teacher-guided-thinkOn-varB2-example-v2fix,qwen35-teacher-guided-thinkOn-varB2-example-v2fix,fp16,,0.216,0.679,1.000,0.424,0.453,0.559,0.132,0.639,0.516,1.000,,287
qwen35-teacher-guided-thinkOn-varC-original,qwen35-teacher-guided-thinkOn-varC-original,fp16,,0.261,0.756,1.000,0.485,0.528,0.607,0.153,0.739,0.638,1.000,,287
qwen35-teacher-guided-varA-schema-v2,qwen35-teacher-guided-varA-schema-v2,fp16,,0.261,0.760,0.997,0.474,0.521,0.598,0.206,0.699,0.568,0.997,,287
qwen35-teacher-guided-varB-example-v2,qwen35-teacher-guided-varB-example-v2,fp16,,0.289,0.760,1.000,0.492,0.535,0.613,0.132,0.715,0.606,1.000,,287
qwen35-teacher-guided-varB2-example-v2fix,qwen35-teacher-guided-varB2-example-v2fix,fp16,,0.195,0.700,1.000,0.400,0.443,0.541,0.202,0.625,0.477,1.000,,287
qwen35-teacher-guided-varC-original-v2,qwen35-teacher-guided-varC-original-v2,fp16,,0.275,0.760,1.000,0.481,0.527,0.604,0.258,0.696,0.551,1.000,,287
qwen35-teacher-offline-varA-thinkOff,qwen35-teacher-offline-varA-thinkOff,fp16,,0.244,0.760,1.000,0.463,0.513,0.590,0.220,0.690,0.564,1.000,,287
qwen35-teacher-offline-varB-thinkOff,qwen35-teacher-offline-varB-thinkOff,fp16,,0.272,0.763,0.993,0.479,0.527,0.601,0.109,0.744,0.669,0.993,,287
qwen35-teacher-reasoning-varA-schema,qwen35-teacher-reasoning-varA-schema,fp16,,0.237,0.725,0.955,0.435,0.484,0.558,0.102,0.696,0.575,0.955,,287
qwen35-teacher-reasoning-varB-example,qwen35-teacher-reasoning-varB-example,fp16,,0.254,0.683,0.937,0.439,0.474,0.556,0.067,0.689,0.571,0.937,,287
